"State, federal district or territory",Least populous,Population,Most populous,Population.1,State federal district or territory,"Avg. county land area, sq. mi. (km2)",Smallest county,"Area, sq. mi. (km2)",Largest county,"area, sq. mi. (km2)"
Ohio,Vinton,13435,Franklin,1310300,Ohio,"464.3 (1,203)",Lake County,227.4 (589),Ashtabula County,"701.9 (1,818)"
Oklahoma,Cimarron,2475,Oklahoma,718633,Oklahoma,"890.8 (2,307)",Marshall County,371.0 (961),Osage County,"2,246.3 (5,818)"
Oregon,Wheeler,1441,Multnomah,735334,Oregon,"2,666.3 (6,906)",Multnomah County,"431.3 (1,117)",Harney County,"10,133.1 (26,245)"
Pennsylvania,Cameron,5085,Philadelphia,1526006,Pennsylvania,"667.8 (1,730)",Montour County,130.2 (337),Lycoming County,"1,228.5 (3,182)"
Puerto Rico,Culebra Municipality,1818,San Juan Municipality,395326,Puerto Rico,45.06 (116.7),Cataño Municipality,4.84 (12.5),Arecibo Municipality,125.95 (326.2)
Rhode Island,Bristol,49875,Providence,626667,Rhode Island,206.8 (536),Bristol County,24.1 (62),Providence County,"409.5 (1,061)"
South Carolina,Allendale,8903,Greenville,451225,South Carolina,"653.5 (1,693)",McCormick County,359.1 (930),Horry County,"1,133.9 (2,937)"
South Dakota,Jones,1006,Minnehaha,169468,South Dakota,"1,148.7 (2,975)",Clay County,"412.1 (1,067)",Meade County,"3,470.9 (8,990)"
Tennessee,Pickett,5077,Shelby,927644,Tennessee,"434.1 (1,124)",Trousdale County,114.1 (296),Shelby County,"763.1 (1,976)"
Texas,Loving,113,Harris,4092459,Texas,"1,028.5 (2,664)",Rockwall County,127.0 (329),Brewster County,"6,183.7 (16,016)"
U.S. Minor Outlying Islands,6 entities [note 8],0,Wake Island,100 [note 9],U.S. Minor Outlying Islands,1.46 (3.8),Kingman Reef,0.01 (0.026),Palmyra Atoll,4.59 (11.9)
Utah,Daggett,1059,Salt Lake,1029655,Utah,"2,833.4 (7,338)",Davis County,298.7 (774),San Juan County,"7,819.9 (20,253)"
Vermont,Essex,6306,Chittenden,156545,Vermont,"658.3 (1,705)",Grand Isle County,81.8 (212),Windsor County,"969.3 (2,510)"
Virgin Islands (U.S.),Saint John Island,4170,Saint Thomas Island,51634,,,,,,
Virginia,Highland,2321,Fairfax,1081726,Virginia,294.7 (763),City of Falls Church,2.0 (5.2),Pittsylvania County,"968.9 (2,509)"
Washington,Garfield,2266,King,1931249,Washington,"1,704.0 (4,413)",San Juan County,173.9 (450),Okanogan County,"5,267.9 (13,644)"
West Virginia,Wirt,5717,Kanawha,193063,West Virginia,"437.1 (1,132)",Hancock County,82.6 (214),Randolph County,"1,039.6 (2,693)"
Wisconsin,Menominee,4232,Milwaukee,947735,Wisconsin,"752.2 (1,948)",Pepin County,231.9 (601),Marathon County,"1,544.9 (4,001)"
Wyoming,Niobrara,2484,Laramie,91738,Wyoming,"4,221.4 (10,933)",Hot Springs County,"2,004.0 (5,190)",Sweetwater County,"10,426.6 (27,005)"
